index,Lever position,Ship speed (v),Gas Turbine (GT) shaft torque (GTT) (kN m),GT rate of revolutions (GTn) (rpm),Gas Generator rate of revolutions (GGn) (rpm),Starboard Propeller Torque (Ts) (kN),Port Propeller Torque (Tp) (kN),Hight Pressure (HP) Turbine exit temperature (T48) (C),GT Compressor inlet air temperature (T1) (C),GT Compressor outlet air temperature (T2) (C),HP Turbine exit pressure (P48) (bar),GT Compressor inlet air pressure (P1) (bar),GT Compressor outlet air pressure (P2) (bar),GT exhaust gas pressure (Pexh) (bar),Turbine Injecton Control (TIC) (%),Fuel flow (mf) (kg/s),GT Compressor decay state coefficient,GT Turbine decay state coefficient
145,2.088,6,5612.283,1347.886,6851.841,23.027,23.027,593.577,288,573.786,1.283,0.998,6.918,1.019,22.796,0.25,0.95,0.991
6467,6.175,18,29789.704,2307.5,8815.707,246.178,246.178,768.556,288,666.246,2.507,0.998,13.189,1.03,33.907,0.671,0.977,0.991
2033,9.3,27,72776.194,3560.425,9782.354,644.851,644.851,1091.359,288,783.734,4.487,0.998,22.402,1.049,90.137,1.784,0.958,0.992
11800,2.088,6,4276.552,1343.527,6725.419,22.143,22.143,541.315,288,558.989,1.244,0.998,6.725,1.019,22.775,0.196,1.0,0.986
1165,5.14,15,21639.191,1924.357,8513.716,175.316,175.316,705.108,288,640.116,2.073,0.998,10.921,1.026,24.887,0.493,0.954,1.0
2050,8.206,24,50994.651,3087.546,9320.813,438.04,438.04,927.065,288,736.11,3.566,0.998,18.259,1.041,60.292,1.194,0.958,0.994
3760,8.206,24,50994.31,3087.469,9309.116,437.977,437.977,940.336,288,736.456,3.587,0.998,18.664,1.041,61.721,1.222,0.966,0.976
4435,8.206,24,50993.891,3087.511,9317.232,438.101,438.101,915.113,288,732.121,3.569,0.998,18.195,1.041,59.416,1.176,0.968,0.999
3430,2.088,6,2853.029,1362.842,6831.217,25.618,25.618,502.017,288,559.283,1.198,0.998,6.419,1.019,10.46,0.134,0.964,0.992
8190,1.138,3,3291.735,1387.701,6633.409,9.717,9.717,542.959,288,559.85,1.216,0.998,6.622,1.019,5.011,0.177,0.985,0.975
10448,9.3,27,72769.137,3560.394,9741.609,645.057,645.057,1052.354,288,771.005,4.534,0.998,22.664,1.052,87.446,1.731,0.994,0.991
7069,5.14,15,21627.704,1924.313,8470.611,175.218,175.218,710.597,288,637.262,2.087,0.998,11.185,1.026,25.372,0.502,0.98,0.98
4361,6.175,18,29792.433,2307.384,8825.298,246.286,246.286,773.184,288,668.413,2.503,0.998,13.172,1.03,34.136,0.676,0.968,0.991
9454,5.14,15,21625.225,1924.32,8465.814,175.22,175.22,700.658,288,633.953,2.088,0.998,11.143,1.027,24.857,0.492,0.99,0.985
1771,8.206,24,50995.994,3087.587,9319.372,438.125,438.125,932.9,288,737.209,3.569,0.998,18.358,1.041,60.812,1.204,0.957,0.989
3511,2.088,6,4112.216,1344.162,6774.386,22.303,22.303,559.408,288,566.996,1.238,0.998,6.758,1.019,23.177,0.206,0.965,0.975
271,2.088,6,6804.329,1363.165,6828.3,25.813,25.813,630.888,288,579.998,1.323,0.998,7.214,1.019,17.081,0.287,0.951,0.979
8436,4.161,12,14718.525,1547.445,7713.412,113.741,113.741,643.957,288,605.842,1.665,0.998,9.032,1.023,17.408,0.345,0.986,0.976
2032,8.206,24,50994.855,3087.549,9320.003,438.095,438.095,929.109,288,736.417,3.567,0.998,18.3,1.041,60.482,1.197,0.958,0.992
9005,6.175,18,29762.054,2306.774,8799.26,246.002,246.002,767.167,288,664.449,2.511,0.998,13.259,1.031,33.893,0.671,0.988,0.987
11532,4.161,12,14716.938,1547.442,7696.915,113.713,113.713,632.943,288,602.147,1.666,0.998,8.99,1.023,16.92,0.335,0.999,0.982
3810,4.161,12,14722.42,1547.46,7769.755,113.771,113.771,647.736,288,609.175,1.659,0.998,8.959,1.022,17.514,0.347,0.966,0.982
9996,7.148,21,39001.628,2678.052,9121.126,332.391,332.391,808.362,288,683.907,2.981,0.998,15.511,1.036,42.933,0.85,0.992,0.993
4346,9.3,27,72771.774,3560.426,9768.7,645.115,645.115,1082.492,288,780.46,4.503,0.998,22.547,1.05,89.656,1.775,0.968,0.989
545,6.175,18,29794.631,2307.325,8834.448,246.312,246.312,790.371,288,674.101,2.499,0.998,13.249,1.03,35.123,0.695,0.952,0.983
3241,2.088,6,2957.739,1371.021,6851.425,27.126,27.126,498.589,288,559.338,1.203,0.998,6.413,1.02,5.919,0.128,0.963,0.997
8930,3.144,9,8374.963,1386.734,7036.619,60.309,60.309,585.409,288,578.746,1.393,0.998,7.562,1.02,12.311,0.244,0.988,0.979
8502,7.148,21,39002.671,2678.037,9118.926,332.413,332.413,822.281,288,687.387,2.983,0.998,15.66,1.036,43.946,0.87,0.986,0.983
9323,9.3,27,72774.384,3560.398,9751.403,645.019,645.019,1053.431,288,771.984,4.521,0.998,22.498,1.051,87.308,1.728,0.989,0.996
11832,7.148,21,39010.434,2678.003,9115.404,332.413,332.413,807.282,288,682.22,2.989,0.998,15.604,1.036,42.977,0.851,1.0,0.989
7564,5.14,15,21627.706,1924.318,8471.438,175.252,175.252,706.661,288,636.235,2.086,0.998,11.154,1.026,25.156,0.498,0.982,0.983
920,3.144,9,8381.287,1386.77,7167.007,60.374,60.374,585.12,288,583.349,1.386,0.998,7.402,1.02,12.227,0.242,0.953,0.999
10872,1.138,3,5127.844,1365.513,6626.433,8.357,8.357,587.435,288,563.137,1.271,0.998,6.874,1.019,10.861,0.241,0.996,0.987
6640,8.206,24,50994.096,3087.494,9305.495,438.087,438.087,923.826,288,731.36,3.589,0.998,18.538,1.042,60.461,1.197,0.978,0.984
7694,9.3,27,72776.229,3560.412,9759.837,645.137,645.137,1060.156,288,774.302,4.511,0.998,22.426,1.051,87.741,1.737,0.982,0.997
8230,5.14,15,21625.743,1924.312,8465.07,175.207,175.207,708.991,288,636.234,2.088,0.998,11.204,1.026,25.31,0.501,0.985,0.979
7126,8.206,24,50994.125,3087.497,9305.235,437.969,437.969,920.392,288,730.411,3.589,0.998,18.504,1.042,60.188,1.192,0.98,0.986
4278,4.161,12,14721.989,1547.459,7765.202,113.776,113.776,646.816,288,608.739,1.66,0.998,8.96,1.022,17.478,0.346,0.968,0.982
2983,5.14,15,21635.754,1924.342,8500.399,175.294,175.294,706.545,288,639.174,2.077,0.998,10.999,1.026,25.022,0.495,0.962,0.994
130,5.14,15,21638.765,1924.338,8507.59,175.35,175.35,717.719,288,643.085,2.074,0.998,11.037,1.026,25.587,0.506,0.95,0.989
7980,7.148,21,39004.61,2678.021,9116.84,332.36,332.36,829.764,288,689.024,2.985,0.998,15.757,1.036,44.508,0.881,0.984,0.977
2667,4.161,12,14723.389,1547.465,7787.19,113.789,113.789,647.4,288,609.787,1.658,0.998,8.927,1.022,17.479,0.346,0.961,0.985
7138,2.088,6,4824.722,1394.275,6805.8,31.496,31.496,546.753,288,565.764,1.273,0.998,6.848,1.02,0.0,0.182,0.98,0.988
3223,2.088,6,2862.498,1366.01,6843.093,26.199,26.199,499.226,288,559.122,1.199,0.998,6.404,1.019,8.582,0.13,0.963,0.995
9374,6.175,18,29760.967,2306.84,8786.101,246.015,246.015,778.309,288,666.448,2.516,0.998,13.414,1.03,34.646,0.686,0.99,0.976
7693,8.206,24,50993.443,3087.48,9308.711,438.073,438.073,907.712,288,728.015,3.582,0.998,18.287,1.042,59.049,1.169,0.982,0.997
5392,2.088,6,2835.061,1358.378,6767.98,24.801,24.801,510.816,288,559.678,1.198,0.998,6.512,1.019,13.025,0.143,0.973,0.976
614,3.144,9,8380.617,1386.765,7148.593,60.377,60.377,591.962,288,584.752,1.387,0.998,7.458,1.02,12.51,0.248,0.952,0.991
11816,9.3,27,72764.346,3560.373,9731.353,645.003,645.003,1049.477,288,769.599,4.546,0.998,22.811,1.052,87.413,1.73,1.0,0.987
1466,9.3,27,72766.532,3560.415,9776.181,644.779,644.779,1103.343,288,786.005,4.498,0.998,22.686,1.049,91.441,1.81,0.956,0.981
4497,7.148,21,38991.703,2678.065,9125.538,332.296,332.296,836.588,288,693.085,2.973,0.998,15.655,1.035,44.79,0.887,0.969,0.98
3042,1.138,3,1987.954,1402.848,6686.351,10.644,10.644,507.431,288,558.05,1.17,0.998,6.352,1.019,0.0,0.128,0.963,0.975
9126,1.138,3,2543.906,1360.324,6606.05,8.11,8.11,524.698,288,555.278,1.185,0.998,6.456,1.019,11.821,0.161,0.989,0.975
2419,8.206,24,50997.001,3087.604,9315.367,438.026,438.026,937.038,288,737.206,3.576,0.998,18.495,1.041,61.272,1.213,0.96,0.983
5085,1.138,3,5741.707,1401.35,6717.936,10.545,10.545,600.882,288,570.226,1.297,0.998,6.961,1.019,0.0,0.246,0.971,0.994
3294,1.138,3,4632.926,1412.096,6697.413,11.237,11.237,586.439,288,569.875,1.265,0.998,6.875,1.019,0.0,0.22,0.964,0.977
6737,6.175,18,29790.77,2307.449,8818.736,246.22,246.22,763.765,288,665.14,2.506,0.998,13.137,1.031,33.598,0.665,0.978,0.995
1500,7.148,21,38981.371,2678.078,9134.449,332.103,332.103,840.251,288,696.306,2.961,0.998,15.527,1.035,44.851,0.888,0.956,0.985
9018,1.138,3,1219.193,1364.719,6641.918,8.287,8.287,469.067,288,546.656,1.135,0.998,6.09,1.019,2.824,0.095,0.988,0.989
1521,1.138,3,6943.081,1384.468,6726.022,9.624,9.624,648.326,288,578.276,1.327,0.998,7.184,1.019,0.0,0.299,0.956,0.988
10871,9.3,27,72763.165,3560.39,9734.871,645.062,645.062,1054.549,288,771.105,4.542,0.998,22.812,1.052,87.817,1.738,0.996,0.986
4232,3.144,9,8377.194,1386.747,7075.818,60.327,60.327,595.999,288,583.318,1.391,0.998,7.568,1.02,12.712,0.252,0.968,0.977
7686,1.138,3,3113.677,1413.84,6707.791,11.213,11.213,518.724,288,556.904,1.213,0.998,6.47,1.019,0.0,0.151,0.982,0.997
8820,1.138,3,5643.836,1397.14,6678.686,10.215,10.215,592.729,288,566.616,1.294,0.998,6.951,1.019,0.518,0.24,0.987,0.993
4430,3.144,9,8379.518,1386.759,7132.133,60.364,60.364,578.406,288,580.096,1.388,0.998,7.409,1.02,11.975,0.237,0.968,0.999
390,4.161,12,14725.718,1547.475,7824.688,113.8,113.8,645.936,288,610.883,1.654,0.998,8.855,1.022,17.37,0.344,0.951,0.992
11767,5.14,15,21621.64,1924.314,8454.048,175.228,175.228,698.497,288,632.123,2.092,0.998,11.192,1.027,24.792,0.491,1.0,0.982
7124,6.175,18,29762.45,2306.807,8806.565,245.967,245.967,772.296,288,666.561,2.508,0.998,13.257,1.03,34.165,0.676,0.98,0.986
5913,1.138,3,933.728,1366.468,6652.626,8.44,8.44,468.429,288,548.479,1.124,0.998,6.061,1.019,2.007,0.089,0.975,0.982
8592,7.148,21,38997.251,2678.066,9123.951,332.249,332.249,812.205,288,685.698,2.977,0.998,15.491,1.036,43.142,0.854,0.986,0.993
4806,1.138,3,2341.727,1408.984,6710.071,10.976,10.976,505.869,288,556.524,1.183,0.998,6.35,1.019,0.0,0.131,0.97,0.989
11094,7.148,21,39010.485,2677.996,9114.788,332.45,332.45,813.195,288,683.778,2.989,0.998,15.663,1.036,43.403,0.859,0.997,0.985
8238,4.161,12,14718.909,1547.449,7723.355,113.742,113.742,640.876,288,605.408,1.664,0.998,8.995,1.023,17.255,0.342,0.985,0.98
8044,8.206,24,50993.562,3087.469,9302.184,437.97,437.97,919.853,288,729.513,3.594,0.998,18.56,1.042,60.228,1.192,0.984,0.984
11670,7.148,21,39004.763,2678.043,9119.86,332.443,332.443,800.003,288,681.179,2.983,0.998,15.467,1.036,42.375,0.839,0.999,0.997
3993,7.148,21,38992.208,2678.063,9124.476,332.299,332.299,842.11,288,694.399,2.974,0.998,15.718,1.035,45.191,0.895,0.967,0.976
11396,3.144,9,8375.181,1386.734,7050.038,60.312,60.312,570.063,288,574.659,1.392,0.998,7.465,1.021,11.681,0.231,0.998,0.993
6609,4.161,12,14720.205,1547.453,7740.768,113.751,113.751,643.145,288,606.74,1.662,0.998,8.979,1.022,17.338,0.343,0.978,0.981
5319,1.138,3,5577.945,1403.165,6716.808,10.652,10.652,595.837,288,569.504,1.292,0.998,6.938,1.019,0.0,0.241,0.972,0.994
11743,8.206,24,50988.209,3087.229,9291.265,437.955,437.955,914.811,288,725.554,3.61,0.998,18.721,1.042,60.106,1.19,1.0,0.979
7119,1.138,3,1532.193,1388.076,6666.849,9.674,9.674,480.305,288,550.543,1.15,0.998,6.185,1.019,0.702,0.103,0.98,0.986
2421,1.138,3,2185.544,1407.748,6718.516,10.947,10.947,508.535,288,558.518,1.177,0.998,6.347,1.019,0.0,0.131,0.96,0.984
5604,7.148,21,38986.221,2678.086,9133.179,332.17,332.17,814.734,288,688.657,2.965,0.998,15.348,1.036,43.126,0.854,0.973,0.999
1750,5.14,15,21636.356,1924.33,8498.892,175.304,175.304,715.899,288,641.677,2.077,0.998,11.07,1.026,25.529,0.505,0.957,0.987
10747,2.088,6,5695.505,1348.33,6771.658,23.043,23.043,569.887,288,563.661,1.288,0.998,6.894,1.02,21.705,0.234,0.995,0.999
11595,4.161,12,14717.608,1547.446,7710.422,113.724,113.724,626.923,288,601.035,1.665,0.998,8.927,1.023,16.625,0.329,0.999,0.989
338,6.175,18,29795.892,2307.291,8838.657,246.298,246.298,787.593,288,673.685,2.498,0.998,13.207,1.03,34.933,0.692,0.951,0.986
8407,2.088,6,6932.383,1373.426,6809.092,27.655,27.655,598.549,288,570.522,1.331,0.998,7.12,1.02,10.224,0.261,0.985,0.999
1341,1.138,3,1520.012,1312.705,6692.641,5.539,5.539,510.075,288,553.777,1.139,0.998,6.112,1.019,27.918,0.156,0.955,0.994
11388,4.161,12,14717.947,1547.449,7718.39,113.734,113.734,624.807,288,600.77,1.664,0.998,8.899,1.023,16.517,0.327,0.998,0.992
7982,9.3,27,72759.269,3560.371,9740.19,644.987,644.987,1075.351,288,776.636,4.537,0.998,22.978,1.051,89.688,1.775,0.984,0.977
3640,5.14,15,21634.191,1924.331,8492.956,175.298,175.298,709.734,288,639.32,2.079,0.998,11.06,1.026,25.226,0.499,0.965,0.989
329,6.175,18,29795.487,2307.296,8837.617,246.269,246.269,788.695,288,673.906,2.498,0.998,13.22,1.03,35.005,0.693,0.951,0.985
10531,2.088,6,3112.177,1350.583,6713.089,23.387,23.387,514.575,288,556.633,1.207,0.998,6.573,1.019,17.595,0.155,0.995,0.975
3004,8.206,24,50994.316,3087.532,9319.368,438.046,438.046,922.26,288,734.509,3.567,0.998,18.233,1.041,59.94,1.187,0.962,0.996
6960,4.161,12,14721.144,1547.461,7764.186,113.765,113.765,631.454,288,604.457,1.66,0.998,8.863,1.023,16.774,0.332,0.979,0.994
4090,5.14,15,21633.058,1924.328,8489.215,175.289,175.289,710.603,288,639.183,2.08,0.998,11.085,1.026,25.289,0.501,0.967,0.987
9828,1.138,3,2999.26,1359.68,6599.885,8.068,8.068,538.707,288,556.786,1.201,0.998,6.548,1.019,13.429,0.179,0.992,0.975
2322,1.138,3,738.007,1368.019,6730.662,8.565,8.565,456.399,288,548.084,1.115,0.998,5.925,1.019,0.0,0.076,0.959,0.999
6667,8.206,24,50994.171,3087.503,9306.757,438.108,438.108,920.674,288,730.866,3.587,0.998,18.477,1.042,60.168,1.191,0.978,0.987
7009,8.206,24,50993.451,3087.483,9311.17,437.987,437.987,907.687,288,728.638,3.578,0.998,18.236,1.042,58.978,1.168,0.979,0.999
4197,4.161,12,14723.637,1547.47,7801.507,113.781,113.781,632.595,288,606.258,1.656,0.998,8.808,1.023,16.785,0.332,0.967,0.999
3549,4.161,12,14722.31,1547.459,7766.068,113.779,113.779,650.854,288,609.879,1.66,0.998,8.985,1.022,17.66,0.35,0.965,0.979
9650,3.144,9,8374.788,1386.733,7035.122,60.307,60.307,582.494,288,577.827,1.393,0.998,7.549,1.02,12.194,0.241,0.991,0.981
8363,3.144,9,8376.895,1386.744,7081.047,60.333,60.333,574.866,288,577.215,1.391,0.998,7.452,1.021,11.86,0.235,0.985,0.994
4203,1.138,3,353.516,1341.718,6697.654,7.045,7.045,447.407,288,544.008,1.097,0.998,5.829,1.019,9.214,0.074,0.967,1.0
11108,3.144,9,8374.73,1386.732,7037.181,60.294,60.294,575.156,288,575.719,1.393,0.998,7.508,1.021,11.896,0.235,0.997,0.987
10654,8.206,24,50993.223,3087.456,9297.906,438.091,438.091,908.483,288,725.507,3.599,0.998,18.518,1.042,59.412,1.176,0.995,0.988
6185,3.144,9,8377.158,1386.746,7080.796,60.336,60.336,585.123,288,580.274,1.39,0.998,7.505,1.02,12.274,0.243,0.976,0.986
1639,2.088,6,6359.206,1354.505,6799.086,24.215,24.215,622.245,288,577.513,1.308,0.998,7.16,1.019,21.005,0.279,0.957,0.975
9130,5.14,15,21623.779,1924.305,8457.831,175.211,175.211,710.844,288,636.002,2.091,0.998,11.256,1.026,25.442,0.504,0.989,0.975
60,7.148,21,38979.934,2678.088,9135.434,332.058,332.058,848.513,288,698.909,2.96,0.998,15.575,1.035,45.392,0.899,0.95,0.981
1240,8.206,24,50997.545,3087.621,9318.053,438.117,438.117,941.438,288,738.991,3.574,0.998,18.499,1.041,61.564,1.219,0.955,0.982
5760,1.138,3,1938.178,1401.547,6700.952,10.499,10.499,490.903,288,553.259,1.167,0.998,6.248,1.019,0.0,0.115,0.974,0.991
5136,7.148,21,38985.078,2678.087,9134.149,332.245,332.245,816.053,288,689.274,2.963,0.998,15.342,1.036,43.197,0.855,0.971,0.999
2343,4.161,12,14722.801,1547.459,7769.528,113.78,113.78,656.758,288,611.629,1.66,0.998,9.017,1.022,17.923,0.355,0.96,0.975
2120,6.175,18,29790.178,2307.494,8819.56,246.264,246.264,794.484,288,673.944,2.505,0.998,13.36,1.03,35.454,0.702,0.959,0.976
1524,4.161,12,14724.56,1547.47,7804.83,113.789,113.789,647.091,288,610.41,1.656,0.998,8.895,1.022,17.444,0.345,0.956,0.988
7617,4.161,12,14720.251,1547.456,7747.604,113.742,113.742,634.395,288,604.607,1.661,0.998,8.911,1.023,16.928,0.335,0.982,0.989
153,1.138,3,1746.991,1310.436,6697.848,5.445,5.445,521.736,288,556.35,1.147,0.998,6.173,1.019,29.309,0.168,0.95,0.992
481,5.14,15,21635.855,1924.314,8493.729,175.28,175.28,729.402,288,644.947,2.079,0.998,11.188,1.026,26.268,0.52,0.952,0.976
6122,3.144,9,8376.432,1386.742,7063.015,60.325,60.325,590.749,288,581.296,1.391,0.998,7.557,1.02,12.51,0.248,0.976,0.979
7674,7.148,21,38993.576,2678.075,9126.853,332.229,332.229,812.805,288,686.571,2.973,0.998,15.444,1.036,43.123,0.854,0.982,0.995
7101,1.138,3,955.733,1357.347,6641.16,7.904,7.904,468.218,288,547.381,1.124,0.998,6.056,1.019,5.801,0.093,0.98,0.984
1762,8.206,24,50996.76,3087.602,9318.991,438.123,438.123,933.942,288,737.368,3.57,0.998,18.379,1.041,60.91,1.206,0.957,0.988
8942,6.175,18,29761.544,2306.848,8792.199,246.025,246.025,774.855,288,666.012,2.514,0.998,13.355,1.03,34.402,0.681,0.988,0.98
7715,3.144,9,8377.831,1386.75,7102.941,60.345,60.345,571.513,288,576.983,1.389,0.998,7.408,1.021,11.711,0.232,0.982,1.0
9977,6.175,18,29762.412,2306.769,8799.228,246.028,246.028,760.856,288,662.637,2.512,0.998,13.212,1.031,33.507,0.663,0.992,0.991
10825,8.206,24,50990.91,3087.339,9294.331,437.947,437.947,915.233,288,726.396,3.605,0.998,18.666,1.042,60.061,1.189,0.996,0.981
7479,1.138,3,6802.927,1341.925,6673.991,7.053,7.053,634.032,288,569.801,1.312,0.998,7.041,1.019,21.001,0.306,0.981,1.0
6212,3.144,9,8377.437,1386.748,7088.424,60.335,60.335,582.737,288,579.838,1.39,0.998,7.484,1.02,12.174,0.241,0.976,0.989
4853,3.144,9,8378.705,1386.755,7114.742,60.354,60.354,581.445,288,580.394,1.389,0.998,7.445,1.02,12.107,0.24,0.97,0.994
2711,3.144,9,8379.406,1386.759,7125.087,60.357,60.357,588.66,288,582.925,1.388,0.998,7.47,1.02,12.391,0.245,0.961,0.99
6766,8.206,24,50993.539,3087.488,9311.308,438.082,438.082,909.364,288,729.107,3.578,0.998,18.252,1.042,59.112,1.17,0.978,0.998
4150,2.088,6,3152.696,1376.785,6838.529,28.186,28.186,502.504,288,559.976,1.211,0.998,6.475,1.02,3.073,0.13,0.967,0.994
1333,2.088,6,3754.544,1346.19,6844.061,22.668,22.668,538.715,288,564.851,1.225,0.998,6.574,1.019,21.283,0.184,0.955,0.993
11225,3.144,9,8376.062,1386.739,7069.774,60.324,60.324,565.116,288,573.873,1.391,0.998,7.415,1.021,11.467,0.227,0.997,1.0
8378,9.3,27,72773.838,3560.405,9754.908,644.842,644.842,1058.587,288,773.53,4.518,0.998,22.499,1.051,87.716,1.736,0.985,0.995
9328,5.14,15,21627.824,1924.339,8477.463,175.269,175.269,689.873,288,632.069,2.085,0.998,11.007,1.027,24.221,0.479,0.989,0.997
11202,7.148,21,39003.2,2678.052,9120.789,332.391,332.391,801.258,288,681.766,2.982,0.998,15.46,1.036,42.443,0.84,0.997,0.997
11582,9.3,27,72764.481,3560.38,9732.465,644.899,644.899,1050.526,288,769.935,4.544,0.998,22.805,1.052,87.487,1.732,0.999,0.987
10250,9.3,27,72773.064,3560.389,9746.202,644.993,644.993,1050.006,288,770.744,4.528,0.998,22.551,1.051,87.107,1.724,0.993,0.995
10875,4.161,12,14717.87,1547.447,7713.017,113.738,113.738,629.939,288,601.975,1.664,0.998,8.942,1.023,16.762,0.332,0.996,0.987
3850,8.206,24,50994.845,3087.537,9313.028,437.968,437.968,929.814,288,734.794,3.578,0.998,18.453,1.041,60.74,1.202,0.966,0.986
8340,7.148,21,38997.523,2678.065,9123.421,332.261,332.261,814.844,288,686.332,2.977,0.998,15.521,1.036,43.336,0.858,0.985,0.991
4124,3.144,9,8378.724,1386.755,7113.892,60.349,60.349,585.158,288,581.477,1.389,0.998,7.465,1.02,12.257,0.243,0.967,0.991
10685,3.144,9,8375.503,1386.736,7054.047,60.311,60.311,572.117,288,575.419,1.392,0.998,7.471,1.021,11.762,0.233,0.995,0.992
4788,1.138,3,890.883,1372.667,6679.363,8.808,8.808,464.128,288,548.557,1.122,0.998,6.026,1.019,0.0,0.083,0.97,0.987
2866,5.14,15,21633.658,1924.319,8488.578,175.308,175.308,719.073,288,641.511,2.081,0.998,11.146,1.026,25.744,0.51,0.962,0.981
1386,1.138,3,1030.41,1380.421,6748.17,9.298,9.298,466.293,288,550.639,1.128,0.998,5.993,1.019,0.0,0.087,0.955,0.999
5941,2.088,6,3525.409,1383.837,6802.756,29.495,29.495,514.938,288,561.346,1.227,0.998,6.604,1.02,0.0,0.142,0.975,0.985
3067,8.206,24,50995.507,3087.515,9311.32,438.112,438.112,941.274,288,737.241,3.584,0.998,18.633,1.041,61.739,1.222,0.963,0.977
10798,8.206,24,50987.826,3087.227,9292.982,437.904,437.904,918.444,288,726.913,3.607,0.998,18.727,1.042,60.357,1.195,0.996,0.978
3629,3.144,9,8378.742,1386.755,7110.77,60.355,60.355,588.453,288,582.349,1.389,0.998,7.486,1.02,12.391,0.245,0.965,0.988
11929,5.14,15,21624.934,1924.342,8470.013,175.239,175.239,681.658,288,628.95,2.087,0.998,10.99,1.027,23.803,0.471,1.0,1.0
10668,4.161,12,14718.235,1547.449,7721.002,113.742,113.742,627.81,288,601.709,1.664,0.998,8.914,1.023,16.654,0.33,0.995,0.99
3028,5.14,15,21636.533,1924.351,8504.953,175.332,175.332,701.834,288,638.29,2.076,0.998,10.944,1.026,24.749,0.49,0.962,0.999
2969,9.3,27,72775.569,3560.433,9777.827,644.996,644.996,1086.738,288,782.244,4.492,0.998,22.428,1.05,89.822,1.778,0.962,0.992
9900,1.138,3,4511.263,1383.374,6636.311,9.423,9.423,569.642,288,562.349,1.256,0.998,6.8,1.019,4.767,0.212,0.992,0.983
8646,7.148,21,38994.341,2678.08,9126.952,332.339,332.339,806.288,288,684.706,2.973,0.998,15.391,1.036,42.668,0.845,0.986,0.999
6136,8.206,24,50993.226,3087.452,9304.896,438.004,438.004,929.404,288,732.643,3.591,0.998,18.614,1.041,60.933,1.206,0.976,0.98
8801,9.3,27,72769.846,3560.397,9748.453,645.109,645.109,1060.701,288,773.571,4.526,0.998,22.645,1.051,88.082,1.744,0.987,0.99
4263,7.148,21,38990.95,2678.068,9126.022,332.202,332.202,837.26,288,693.395,2.973,0.998,15.652,1.035,44.826,0.888,0.968,0.98
645,7.148,21,38976.215,2678.075,9140.997,332.101,332.101,833.84,288,696.07,2.953,0.998,15.362,1.035,44.276,0.877,0.952,0.994
11520,1.138,3,2975.8,1376.661,6611.146,9.003,9.003,525.503,288,554.662,1.203,0.998,6.517,1.019,6.725,0.162,0.999,0.981
2074,5.14,15,21637.793,1924.348,8507.044,175.318,175.318,705.817,288,639.641,2.075,0.998,10.96,1.026,24.954,0.494,0.958,0.997
341,9.3,27,72772.093,3560.423,9785.857,644.768,644.768,1104.787,288,787.177,4.485,0.998,22.518,1.049,91.312,1.808,0.951,0.986
8041,5.14,15,21627.322,1924.318,8470.475,175.239,175.239,704.673,288,635.572,2.087,0.998,11.145,1.026,25.053,0.496,0.984,0.984
1622,3.144,9,8380.935,1386.767,7159.957,60.382,60.382,583.764,288,582.693,1.387,0.998,7.403,1.02,12.176,0.241,0.956,0.999
7141,5.14,15,21629.177,1924.325,8477.791,175.235,175.235,702.896,288,635.822,2.084,0.998,11.094,1.026,24.925,0.493,0.98,0.988
5796,1.138,3,5690.816,1401.449,6713.915,10.536,10.536,597.218,288,569.226,1.295,0.998,6.945,1.019,0.0,0.243,0.974,0.995
7184,3.144,9,8377.383,1386.747,7089.64,60.339,60.339,577.824,288,578.41,1.39,0.998,7.457,1.02,11.975,0.237,0.98,0.993
11128,5.14,15,21623.98,1924.324,8462.974,175.2,175.2,693.349,288,631.581,2.089,0.998,11.108,1.027,24.473,0.484,0.997,0.989
8232,7.148,21,39004.199,2678.026,9117.379,332.364,332.364,827.039,288,688.376,2.985,0.998,15.726,1.036,44.308,0.877,0.985,0.979
5475,4.161,12,14721.43,1547.458,7759.848,113.766,113.766,641.905,288,607.173,1.66,0.998,8.938,1.022,17.259,0.342,0.973,0.985
10281,4.161,12,14719.353,1547.456,7742.967,113.747,113.747,621.09,288,600.719,1.661,0.998,8.833,1.023,16.317,0.323,0.993,0.999
10367,9.3,27,72761.185,3560.372,9733.433,644.705,644.705,1060.175,288,772.425,4.544,0.998,22.907,1.051,88.393,1.75,0.994,0.982
11039,6.175,18,29760.979,2306.827,8782.025,246.02,246.02,771.459,288,664.139,2.518,0.998,13.386,1.031,34.252,0.678,0.997,0.979
74,3.144,9,8380.079,1386.762,7132.53,60.363,60.363,599.387,288,586.387,1.388,0.998,7.515,1.02,12.813,0.254,0.95,0.983
11807,9.3,27,72762.938,3560.377,9730.419,644.724,644.724,1050.344,288,769.76,4.547,0.998,22.838,1.052,87.517,1.732,1.0,0.986
10268,9.3,27,72774.32,3560.399,9747.915,644.88,644.88,1048.314,288,770.447,4.525,0.998,22.498,1.052,86.901,1.72,0.993,0.997
8633,3.144,9,8377.173,1386.746,7088.95,60.338,60.338,571.333,288,576.433,1.39,0.998,7.424,1.021,11.711,0.232,0.986,0.998
11009,3.144,9,8373.556,1386.719,7009.685,60.29,60.29,583.866,288,577.295,1.394,0.998,7.589,1.02,12.264,0.243,0.997,0.976
2051,9.3,27,72777.703,3560.432,9783.847,645.106,645.106,1089.634,288,783.465,4.484,0.998,22.349,1.049,89.931,1.78,0.958,0.994
